t_sec,joint,position,velocity,effort
1.466795842,J2,2.190937587,0.481288046,-1.081495259
1.466795842,J3,-0.039486316,0.451479381,0.245547334
1.476758816,J1,0.522455929,0.118413665,0.003371154
1.476758816,J2,2.195619778,0.468219080,-1.086999629
1.476758816,J3,-0.035072985,0.441333168,0.245577343
1.486709496,J1,0.523689571,0.123364157,0.003717278
1.486709496,J2,2.200534957,0.491517947,-1.092520861
1.486709496,J3,-0.030398152,0.467483306,0.245377208
1.496738333,J1,0.524883407,0.119383597,0.003514620
1.496738333,J2,2.205309237,0.477427917,-1.098113845
1.496738333,J3,-0.025837977,0.456017519,0.245426622
1.506766540,J1,0.526041152,0.115774538,0.003336842
1.506766540,J2,2.209956720,0.464748365,-1.103534677
1.506766540,J3,-0.021380049,0.445792743,0.245469428
1.516748720,J1,0.527248917,0.120776498,0.003687109
1.516748720,J2,2.214840782,0.488406131,-1.108974453
1.516748720,J3,-0.016657525,0.472252419,0.245283780
1.526735930,J1,0.528418409,0.116949199,0.003488984
1.526735930,J2,2.219587139,0.474635739,-1.114489827
1.526735930,J3,-0.012050625,0.460690022,0.245345565
1.536764067,J1,0.529553195,0.113478549,0.003315141
1.536764067,J2,2.224209595,0.462245576,-1.119837274
1.536764067,J3,-0.007546824,0.450380036,0.245400344
1.546786059,J1,0.530738209,0.118501462,0.003668836
1.546786059,J2,2.229071386,0.486179168,-1.125204418
1.546786059,J3,-0.002775320,0.477150398,0.245227986
1.556726892,J1,0.531886190,0.114798044,0.003473784
1.556726892,J2,2.233797855,0.472646878,-1.130650371
1.556726892,J3,0.001879536,0.465485636,0.245301494
1.566764738,J1,0.533081540,0.119534964,0.003820713
1.566764738,J2,2.238753543,0.495568800,-1.136096187
1.566764738,J3,0.006792858,0.491332195,0.245142217
1.576758303,J1,0.534238056,0.115651691,0.003607644
1.576758303,J2,2.243564681,0.481113814,-1.141613989
1.576758303,J3,0.011578306,0.478544794,0.245232719
1.586760947,J1,0.535359371,0.112131470,0.003420895
1.586760947,J2,2.248245788,0.468110668,-1.146956594
1.586760947,J3,0.016249662,0.467135635,0.245314405
1.596708625,J1,0.536528700,0.116932845,0.003773014
1.596708625,J2,2.253161158,0.491536969,-1.152303768
1.596708625,J3,0.021185795,0.493613251,0.245165927
1.606738439,J1,0.537660793,0.113209357,0.003566674
1.606738439,J2,2.257936291,0.477513349,-1.157727960
1.606738439,J3,0.025995783,0.480998824,0.245265040
1.616710003,J1,0.538759127,0.109833390,0.003385755
1.616710003,J2,2.262585294,0.464900326,-1.162982864
1.616710003,J3,0.030693257,0.469747419,0.245355350
1.626725219,J1,0.539905787,0.114665942,0.003742067
1.626725219,J2,2.267472430,0.488713561,-1.168244984
1.626725219,J3,0.035661023,0.496776538,0.245217452
1.636860708,J1,0.541016491,0.111070489,0.003540399
1.636860708,J2,2.272222511,0.475008143,-1.173588179
1.636860708,J3,0.040503576,0.484255375,0.245325563
1.646747411,J1,0.542094593,0.107810189,0.003363535
1.646747411,J2,2.276849346,0.462683465,-1.178766655
1.646747411,J3,0.045234478,0.473090122,0.245424804
1.656739370,J1,0.543221093,0.112649923,0.003723356
1.656739370,J2,2.281717346,0.486800004,-1.183953502
1.656739370,J3,0.050240631,0.500615372,0.245297299
1.666729582,J1,0.544312684,0.109159147,0.003524876
1.666729582,J2,2.286450644,0.473329773,-1.189224786
1.666729582,J3,0.055121921,0.488128993,0.245414680
1.676739351,J1,0.545449883,0.113719876,0.003877850
1.676739351,J2,2.291415180,0.496453576,-1.194485128
1.676739351,J3,0.060269776,0.514785483,0.245299577
1.686769584,J1,0.546550388,0.110050525,0.003661026
1.686769584,J2,2.296235742,0.482056280,-1.199823571
1.686769584,J3,0.065281800,0.501202403,0.245433487
1.696762520,J1,0.547617633,0.106724459,0.003471089
1.696762520,J2,2.300926868,0.469112537,-1.204990690
1.696762520,J3,0.070172657,0.489085657,0.245556999
1.706853588,J1,0.548731027,0.111339445,0.003829448
1.706853588,J2,2.305854555,0.492768685,-1.210151721
1.706853588,J3,0.075337764,0.516510737,0.245450687
1.716721713,J1,0.549809169,0.107814152,0.003619557
1.716721713,J2,2.310642539,0.478798425,-1.215395865
1.716721713,J3,0.080369675,0.503191135,0.245591567
1.726694394,J1,0.550855350,0.104618148,0.003435627
1.726694394,J2,2.315304951,0.466241203,-1.220474660
1.726694394,J3,0.085282817,0.491314155,0.245722223
1.736697877,J1,0.551947928,0.109257840,0.003798392
1.736697877,J2,2.320208077,0.490312605,-1.225550106
1.736697877,J3,0.090476834,0.519401749,0.245624984
1.746906212,J1,0.553006412,0.105848351,0.003593321
1.746906212,J2,2.324974631,0.476655387,-1.230712708
1.746906212,J3,0.095539233,0.506239856,0.245773682
1.756734107,J1,0.554033982,0.102756973,0.003413575
1.756734107,J2,2.329618453,0.464382180,-1.235714569
1.756734107,J3,0.100484309,0.494507626,0.245912205
1.766750441,J1,0.555107982,0.107400070,0.003780087
1.766750441,J2,2.334506311,0.488785842,-1.240714292
1.766750441,J3,0.105716147,0.523183733,0.245824218
1.776718443,J1,0.556148838,0.104085596,0.003578308
1.776718443,J2,2.339259891,0.475357994,-1.245804522
1.776718443,J3,0.110817166,0.510101973,0.245981347
1.786744556,J1,0.557233447,0.108460864,0.003938015
1.786744556,J2,2.344247754,0.498786282,-1.250873642
1.786744556,J3,0.116196318,0.537915194,0.245905993
1.796778910,J1,0.558283180,0.104973264,0.003717544
1.796778910,J2,2.349091976,0.484422233,-1.256027337
1.796778910,J3,0.121433439,0.523712054,0.246080048
1.806753407,J1,0.559301302,0.101812268,0.003524528
1.806753407,J2,2.353807147,0.471517108,-1.261014017
1.806753407,J3,0.126543919,0.511048076,0.246242439
1.816770160,J1,0.560363678,0.106237613,0.003889968
1.816770160,J2,2.358762244,0.495509689,-1.265984375
1.816770160,J3,0.131941095,0.539717560,0.246174907
1.826778253,J1,0.561392521,0.102884282,0.003676600
1.826778253,J2,2.363577916,0.481567197,-1.271044212
1.826778253,J3,0.137199241,0.525814546,0.246355256
1.836747163,J1,0.562390966,0.099844506,0.003489736
1.836747163,J2,2.368268357,0.469044042,-1.275942937
1.836747163,J3,0.142333481,0.513424038,0.246524182
1.846795416,J1,0.563433890,0.104292398,0.003859953
1.846795416,J2,2.373203203,0.493484687,-1.280828015
1.846795416,J3,0.147761817,0.542833652,0.246464978
1.856863854,J1,0.564444361,0.101047034,0.003651510
