t_sec,joint,position,velocity,effort
0.828305891,J2,-1.787361925,0.827329027,0.009332716
0.828305891,J3,-0.100164762,0.980541798,-0.320254641
0.838229547,J1,-1.262381609,-0.930503249,0.000575302
0.838229547,J2,-1.779111933,0.824999269,0.020676105
0.838229547,J3,-0.090385363,0.977939819,-0.320180815
0.848240578,J1,-1.271644872,-0.926326349,0.000174404
0.848240578,J2,-1.770899755,0.821217808,0.031977971
0.848240578,J3,-0.080649383,0.973598037,-0.320091049
0.858135598,J1,-1.280851524,-0.920665131,-0.000217767
0.858135598,J2,-1.762738456,0.816129815,0.043222378
0.858135598,J3,-0.070972479,0.967690434,-0.319987179
0.868159480,J1,-1.289988204,-0.913668027,-0.000597085
0.868159480,J2,-1.754639797,0.809865942,0.054394736
0.868159480,J3,-0.061368743,0.960373592,-0.319870926
0.878302723,J1,-1.299042890,-0.905468625,-0.000960096
0.878302723,J2,-1.746614359,0.802543778,0.065481659
0.878302723,J3,-0.051850858,0.951788433,-0.319743901
0.888173508,J1,-1.308004762,-0.896187155,-0.001303970
0.888173508,J2,-1.738671668,0.794269151,0.076470845
0.888173508,J3,-0.042430241,0.942061791,-0.319607597
0.898186285,J1,-1.316864080,-0.885931824,-0.001626449
0.898186285,J2,-1.730820295,0.785137309,0.087350972
0.898186285,J3,-0.033117162,0.931307812,-0.319463397
0.908129847,J1,-1.325612080,-0.874800018,-0.001925791
0.908129847,J2,-1.723067955,0.775233972,0.098111601
0.908129847,J3,-0.023920870,0.919629232,-0.319312572
0.918169862,J1,-1.334240874,-0.862879384,-0.002200716
0.918169862,J2,-1.715421592,0.764636290,0.108743102
0.918169862,J3,-0.014849685,0.907118509,-0.319156287
0.928242005,J1,-1.342743362,-0.850248805,-0.002450359
0.928242005,J2,-1.707887455,0.753413698,0.119236581
0.928242005,J3,-0.005911096,0.893858859,-0.318995610
0.938150226,J1,-1.351113155,-0.836979277,-0.002674215
0.938150226,J2,-1.700471168,0.741628686,0.129583820
0.938150226,J3,0.002888155,0.879925174,-0.318831512
0.948163072,J1,-1.359344502,-0.823134692,-0.002872103
0.948163072,J2,-1.693177793,0.729337496,0.139777219
0.948163072,J3,0.011542004,0.865384857,-0.318664877
0.958163906,J1,-1.367432227,-0.808772558,-0.003044115
0.958163906,J2,-1.686011886,0.716590747,0.149809747
0.958163906,J3,0.020044990,0.850298572,-0.318496506
0.968244919,J1,-1.375371674,-0.793944630,-0.003190581
0.968244919,J2,-1.678977546,0.703433994,0.159674898
0.968244919,J3,0.028392199,0.834720916,-0.318327126
0.978217815,J1,-1.383158648,-0.778697486,-0.003312038
0.978217815,J2,-1.672078463,0.689908238,0.169366653
0.978217815,J3,0.036579209,0.818701025,-0.318157390
0.988185891,J1,-1.390789379,-0.763073048,-0.003409190
0.988185891,J2,-1.665317960,0.676050378,0.178879438
0.988185891,J3,0.044602040,0.802283123,-0.317987888
0.998281362,J1,-1.398260469,-0.747109045,-0.003482890
0.998281362,J2,-1.658699023,0.661893626,0.188208096
0.998281362,J3,0.052457110,0.785507012,-0.317819153
1.008144884,J1,-1.405568864,-0.730839435,-0.003534104
1.008144884,J2,-1.652224345,0.647467870,0.197347852
1.008144884,J3,0.060141196,0.768408511,-0.317651658
1.018159616,J1,-1.412711811,-0.714294778,-0.003563896
1.018159616,J2,-1.645896345,0.632800012,0.206294289
1.018159616,J3,0.067651394,0.751019861,-0.317485832
1.028257670,J1,-1.419686837,-0.697502578,-0.003573406
1.028257670,J2,-1.639717202,0.617914260,0.215043318
1.028257670,J3,0.074985095,0.733370076,-0.317322056
1.038153250,J1,-1.426491713,-0.680487590,-0.003563832
1.038153250,J2,-1.633688878,0.602832405,0.223591157
1.038153250,J3,0.082139948,0.715485269,-0.317160668
1.048228047,J1,-1.433124434,-0.663272093,-0.003536414
1.048228047,J2,-1.627813137,0.587574056,0.231934309
