t_sec,joint,position_cmd,velocity_cmd
0.645316206,joint1,-1.855834942,0.842339352
0.645316206,joint2,-0.181601328,1.000000000
0.655335757,joint0,-1.185187958,-0.951004092
0.655335757,joint1,-1.847411549,0.842339352
0.655335757,joint2,-0.171601328,1.000000000
0.665331282,joint0,-1.194697998,-0.951004092
0.665331282,joint1,-1.838988155,0.842339352
0.665331282,joint2,-0.161601328,1.000000000
0.675315004,joint0,-1.204208039,-0.951004092
0.675315004,joint1,-1.830564762,0.842339352
0.675315004,joint2,-0.151601328,1.000000000
0.685323240,joint0,-1.213718080,-0.951004092
0.685323240,joint1,-1.822141368,0.842339352
0.685323240,joint2,-0.141601328,1.000000000
0.695319394,joint0,-1.223228121,-0.951004092
0.695319394,joint1,-1.813717975,0.842339352
0.695319394,joint2,-0.131601328,1.000000000
0.705325745,joint0,-1.232738162,-0.951004092
0.705325745,joint1,-1.805294581,0.842339352
0.705325745,joint2,-0.121601328,1.000000000
0.715328394,joint0,-1.242248203,-0.951004092
0.715328394,joint1,-1.796871188,0.842339352
0.715328394,joint2,-0.111601328,1.000000000
0.725329506,joint0,-1.251758244,-0.951004092
0.725329506,joint1,-1.788447794,0.842339352
0.725329506,joint2,-0.101601328,1.000000000
0.735329013,joint0,-1.261268285,-0.951004092
0.735329013,joint1,-1.780024401,0.842339352
0.735329013,joint2,-0.091601328,1.000000000
0.745344303,joint0,-1.270778326,-0.951004092
0.745344303,joint1,-1.771601007,0.842339352
0.745344303,joint2,-0.081601328,1.000000000
0.755332565,joint0,-1.280288367,-0.951004092
0.755332565,joint1,-1.763177613,0.842339352
0.755332565,joint2,-0.071601328,1.000000000
0.765349601,joint0,-1.289798408,-0.951004092
0.765349601,joint1,-1.754754220,0.842339352
0.765349601,joint2,-0.061601328,1.000000000
0.775330320,joint0,-1.299308449,-0.951004092
0.775330320,joint1,-1.746330826,0.842339352
0.775330320,joint2,-0.051601328,1.000000000
0.785335553,joint0,-1.308818489,-0.951004092
0.785335553,joint1,-1.737907433,0.842339352
0.785335553,joint2,-0.041601328,1.000000000
0.795346933,joint0,-1.318328530,-0.951004092
0.795346933,joint1,-1.729484039,0.842339352
0.795346933,joint2,-0.031601328,1.000000000
0.805353982,joint0,-1.327781614,-0.936284457
0.805353982,joint1,-1.721111095,0.829301629
0.805353982,joint2,-0.021661220,0.984522007
0.815337145,joint0,-1.337049358,-0.917264375
0.815337145,joint1,-1.712902313,0.812454842
0.815337145,joint2,-0.011916000,0.964522007
0.825326175,joint0,-1.346126901,-0.898244294
0.825326175,joint1,-1.704861999,0.795608055
0.825326175,joint2,-0.002370780,0.944522007
0.835342094,joint0,-1.355014244,-0.879224212
0.835342094,joint1,-1.696990152,0.778761268
0.835342094,joint2,0.006974440,0.924522007
0.845339714,joint0,-1.363711385,-0.860204130
0.845339714,joint1,-1.689286773,0.761914481
0.845339714,joint2,0.016119660,0.904522007
0.855326998,joint0,-1.372218326,-0.841184048
0.855326998,joint1,-1.681751862,0.745067694
0.855326998,joint2,0.025064880,0.884522007
0.865341311,joint0,-1.380535066,-0.822163966
0.865341311,joint1,-1.674385419,0.728220907
0.865341311,joint2,0.033810101,0.864522007
0.875315953,joint0,-1.388661606,-0.803143884
0.875315953,joint1,-1.667187444,0.711374120
0.875315953,joint2,0.042355321,0.844522007
0.885326983,joint0,-1.396597944,-0.784123803
0.885326983,joint1,-1.660157937,0.694527333
0.885326983,joint2,0.050700541,0.824522007
0.895324115,joint0,-1.404344082,-0.765103721
0.895324115,joint1,-1.653296897,0.677680546
0.895324115,joint2,0.058845761,0.804522007
0.905307138,joint0,-1.411900018,-0.746083639
0.905307138,joint1,-1.646604326,0.660833759
0.905307138,joint2,0.066790981,0.784522007
0.915326130,joint0,-1.419265754,-0.727063557
0.915326130,joint1,-1.640080222,0.643986972
0.915326130,joint2,0.074536201,0.764522007
0.925313973,joint0,-1.426441290,-0.708043475
0.925313973,joint1,-1.633724586,0.627140185
0.925313973,joint2,0.082081421,0.744522007
0.935327238,joint0,-1.433426624,-0.689023393
0.935327238,joint1,-1.627537419,0.610293398
0.935327238,joint2,0.089426641,0.724522007
0.945334567,joint0,-1.440221758,-0.670003312
0.945334567,joint1,-1.621518719,0.593446611
0.945334567,joint2,0.096571861,0.704522007
0.955307113,joint0,-1.446826690,-0.650983230
0.955307113,joint1,-1.615668486,0.576599824
0.955307113,joint2,0.103517081,0.684522007
0.965349294,joint0,-1.453241422,-0.631963148
0.965349294,joint1,-1.609986722,0.559753037
0.965349294,joint2,0.110262301,0.664522007
0.975309269,joint0,-1.459465953,-0.612943066
0.975309269,joint1,-1.604473426,0.542906250
0.975309269,joint2,0.116807521,0.644522007
0.985311848,joint0,-1.465500283,-0.593922984
0.985311848,joint1,-1.599128597,0.526059463
0.985311848,joint2,0.123152741,0.624522007
0.995301786,joint0,-1.471344413,-0.574902902
0.995301786,joint1,-1.593952236,0.509212676
0.995301786,joint2,0.129297962,0.604522007
1.005312467,joint0,-1.476998341,-0.555882821
1.005312467,joint1,-1.588944344,0.492365889
1.005312467,joint2,0.135243182,0.584522007
